InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
568697,22966,GINGERBREAD MAN COOKIE CUTTER,72,9/28/2011 14:57,1.25,16281.0,United Kingdom
578357,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,2,11/24/2011 10:24,1.45,17228.0,United Kingdom
536638,22318,FIVE HEART HANGING DECORATION,6,12/2/2010 11:41,2.95,16244.0,United Kingdom
559904,23134,LARGE ZINC HEART WALL ORGANISER,2,7/13/2011 13:20,8.25,13149.0,United Kingdom
555591,22673,FRENCH GARDEN SIGN BLUE METAL,12,6/6/2011 9:59,1.25,15073.0,United Kingdom
567454,21328,BALLOONS  WRITING SET ,12,9/20/2011 12:12,1.65,15839.0,United Kingdom
536592,84946,ANTIQUE SILVER TEA GLASS ETCHED,28,12/1/2010 17:06,2.51,,United Kingdom
556237,23199,JUMBO BAG APPLES,1,6/9/2011 15:34,4.13,,United Kingdom
554117,84568,GIRLS ALPHABET IRON ON PATCHES ,288,5/22/2011 15:12,0.21,13758.0,United Kingdom
546888,22467,GUMBALL COAT RACK,1,3/17/2011 18:15,4.96,,United Kingdom
557324,23307,SET OF 60 PANTRY DESIGN CAKE CASES ,3,6/20/2011 9:41,1.25,,United Kingdom
543177,21843,RED RETROSPOT CAKE STAND,5,2/4/2011 9:56,10.95,14466.0,United Kingdom
548894,21210,SET OF 72 RETROSPOT PAPER  DOILIES,1,4/4/2011 16:01,2.92,,United Kingdom
577549,72800E,4 IVORY DINNER CANDLES SILVER FLOCK,2,11/20/2011 15:00,2.55,17841.0,United Kingdom
576778,22150,3 STRIPEY MICE FELTCRAFT,2,11/16/2011 13:24,1.95,16085.0,United Kingdom
556207,20677,PINK POLKADOT BOWL,8,6/9/2011 13:50,1.25,17372.0,United Kingdom
581405,22196,SMALL HEART MEASURING SPOONS,3,12/8/2011 13:50,0.85,13521.0,United Kingdom
567670,22663,JUMBO BAG DOLLY GIRL DESIGN,1,9/21/2011 15:32,4.13,,United Kingdom
576098,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,6,11/14/2011 10:01,2.95,14862.0,United Kingdom
566735,22554,PLASTERS IN TIN WOODLAND ANIMALS,2,9/14/2011 14:19,1.65,15707.0,United Kingdom
564342,21374,MIRRORED WALL ART SKULLS,2,8/24/2011 14:53,1.25,16340.0,United Kingdom
568154,84978,HANGING HEART JAR T-LIGHT HOLDER,6,9/25/2011 12:06,1.25,13787.0,United Kingdom
551664,20933,,-3,5/3/2011 12:34,0.0,,United Kingdom
564139,22555,PLASTERS IN TIN STRONGMAN,2,8/23/2011 11:41,1.65,16904.0,United Kingdom
566091,15044D,RED PAPER PARASOL,1,9/9/2011 10:37,2.95,17870.0,United Kingdom
558368,21930,JUMBO STORAGE BAG SKULLS,10,6/28/2011 15:36,2.08,14329.0,United Kingdom
538905,22988,SOLDIERS EGG CUP ,12,12/15/2010 10:31,1.25,13611.0,United Kingdom
554765,84818,DANISH ROSE PHOTO FRAME,6,5/26/2011 11:38,2.55,16837.0,United Kingdom
560225,90116,FRUIT SALAD BAG CHARM,2,7/15/2011 16:27,2.46,,United Kingdom
537688,90212B,JET BLACK LAS VEGAS BRACELET ROUND,3,12/8/2010 10:35,3.75,17406.0,United Kingdom
558054,22420,LIPSTICK PEN BABY PINK,100,6/24/2011 14:36,0.36,12971.0,United Kingdom
562616,23293,SET OF 12 FAIRY CAKE BAKING CASES,8,8/8/2011 12:28,0.83,14748.0,United Kingdom
571106,82583,HOT BATHS METAL SIGN,12,10/13/2011 16:14,2.1,14976.0,United Kingdom
541870,84249A,"GREETING CARD,SQUARE, DOUGHNUTS",1,1/24/2011 9:39,0.83,,United Kingdom
542393,84991,60 TEATIME FAIRY CAKE CASES,1,1/27/2011 15:02,0.55,18125.0,United Kingdom
581438,23083,SET 6 PAPER TABLE LANTERN STARS ,12,12/8/2011 16:29,3.75,12955.0,United Kingdom
561025,84692,BOX OF 24 COCKTAIL PARASOLS,2,7/24/2011 10:37,0.42,16241.0,United Kingdom
579516,22104,MIRROR MOSAIC CANDLE PLATE,1,11/29/2011 17:52,1.45,17841.0,United Kingdom
538648,21662,VINTAGE GLASS COFFEE CADDY,48,12/13/2010 14:56,5.45,17937.0,United Kingdom
539988,21272,SALLE DE BAIN HOOK,2,12/23/2010 16:06,1.25,18116.0,United Kingdom
538566,21174,POTTERING IN THE SHED METAL SIGN,1,12/13/2010 11:21,4.21,,United Kingdom
548276,21561,DINOSAUR LUNCH BOX WITH CUTLERY,12,3/30/2011 11:39,2.55,17863.0,United Kingdom
537809,22469,HEART OF WICKER SMALL,12,12/8/2010 13:28,1.65,14217.0,United Kingdom
552493,20707,CRAZY DAISY HEART DECORATION,1,5/9/2011 16:21,0.83,,United Kingdom
547785,22914,BLUE COAT RACK PARIS FASHION,1,3/25/2011 11:41,4.95,13097.0,United Kingdom
579187,23517,EMBROIDERED RIBBON REEL REBECCA ,1,11/28/2011 15:31,5.79,,United Kingdom
569367,22121,NOEL WOODEN BLOCK LETTERS ,1,10/3/2011 15:28,5.95,13994.0,United Kingdom
557761,22706,WRAP COWBOYS  ,25,6/22/2011 13:59,0.42,14214.0,United Kingdom
566451,21891,TRADITIONAL WOODEN SKIPPING ROPE,1,9/12/2011 16:14,1.45,18069.0,United Kingdom
581352,22564,ALPHABET STENCIL CRAFT,1,12/8/2011 12:26,1.25,14698.0,United Kingdom
559864,23306,SET OF 36 DOILIES PANTRY DESIGN,12,7/13/2011 10:38,1.45,14916.0,United Kingdom
536874,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,1,12/3/2010 11:35,2.95,16891.0,United Kingdom
581325,21889,WOODEN BOX OF DOMINOES,6,12/8/2011 11:53,1.25,15877.0,United Kingdom
547248,21033,JUMBO BAG CHARLIE AND LOLA TOYS,1,3/22/2011 9:23,4.13,,United Kingdom
573585,90214S,"LETTER ""S"" BLING KEY RING",1,10/31/2011 14:41,0.83,,United Kingdom
536990,POST,POSTAGE,1,12/3/2010 15:14,28.0,12793.0,Portugal
